"Bug ID","Module / Area","Bug Description","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_046","Payment Screen","An unneeded ""Pay Now"" checkout button renders on screen during contexts where no active balances or fees apply.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_047","Driver App","Tapping on a incoming message toast notification alert fails to open the conversation or route users to the chat screen.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_048","Driver Arrival","The UI notification text reading ""Driver arrived to your location"" has zero spacing padding, crashing up against the edges.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_049","Homepage","Clicking site navigation links for the very first time fires a loading wheel spinner, but clicking them a second time does nothing.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_050","Homepage","The ""Invest in Réya"" and ""Waitlist"" layout items show loading spinners only on first use, skipping loading animations on repeat clicks.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_051","Homepage","The footer ""Sign Up"" hyperlink is non-functional because it doesn't point to any target page destination.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_052","Homepage","Clicking the footer ""Feedback"" link fails to jump or smoothly scroll the window down to where the feedback component lives.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_053","Homepage","Tapping the footer ""Support"" redirect option does not anchor scroll users to the Help Desk connection channel cards.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_054","Homepage","The support email hyperlink (support@reyaapp.com) located inside the footer layout is dead and unclickable.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_055","Investors","Submitting the account creation form updates the user profile but fails to reset the Investment Tier selection back to empty.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_056","Loyalty","The Rider registration form accepts valid JPG files but breaks anyway with a ""Please upload a valid image or PDF"" error.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_057","Contact","All support communication channel navigation links are completely dead and do not adapt or respond on tap events.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_058","Admin / Website","The error indicator text reading ""Please select a country code"" shows up even when a valid country code is selected.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_059","Admin / Multi-platform","Email entries do not auto-convert to lowercase before hitting databases, causing login errors if capitalized.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_060","Admin / Website","The Vehicle Info setup panels pre-load random default data rows instead of presenting a completely clean input wizard.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_061","Admin / Website","The application lacks a visual confirmation message stating ""OTP sent successfully"" once a mobile code is dispatched.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_062","Admin / Multi-platform","The Forgot Password window lets users trigger the ""Resend OTP"" button infinitely without a rate limit cooldown lock.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_063","Admin / Multi-platform","Launching the Set New Password view automatically forces the phone keyboard overlay open, blocking the layout views.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_064","Admin / Multi-platform","Profiles manually generated inside the admin panel render default ""DP"" initials text instead of pulling profile pictures.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_065","Admin / Website","Profile pictures uploaded via web accounts fail to pass over and sync to the user avatar zones inside the mobile app.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_066","Admin / Multi-platform","Entering a single symbol into the Vehicle Number field crashes the view with a ""Something went wrong"" block instead of a validation error.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_067","Admin / Multi-platform","Subscriptions purchased via web layouts fail to activate or display when the user logs into the mobile app dashboard.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_068","Admin / Website","Updating a user's contact email address via the admin table breaks the account loop; login OTPs continue going to the old email.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_069","Website: Login","The login inputs auto-fill old text data that triggers a false ""Account not found"" blocker code when clicking submit.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_070","Website: Sign up","The profile picture upload element is an absolute requirement for registration, but it lacks a red asterisk indicator.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_071","Website: Sign up","The registration input field accepts invalid email handles starting with consecutive dots (e.g., ..user@email.com).","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_072","Website: Logout","Tapping the log out button cleanly clears active user session instances but throws no visual feedback confirmation popup.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_073","Website: Sign up","Entering a blank space inside the country code lookup prompt completely wipes out all visible search results list options.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_074","Website: Login","Typing text into the password entry box causes two visibility eye toggle icons to render directly on top of each other.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_075","Profile Details","If a user profile has no active mobile number recorded, the field line stays empty instead of displaying a clean ""N/A.""","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_076","Profile Details","Unsubscribed users incorrectly see a ""Complete Payment"" link which errors out with ""planId is required"" on click.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_077","Language Controls","Switching the core application preference settings to Spanish fails to translate text layers across the main app views.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_078","Verification Flows","Confirming a phone number change via OTP fires two duplicate success banners and leaves the modal open instead of closing it.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_079","Subscription Upgrades","Tapping the ""Update Membership"" button forces the user's viewport window to instantly scroll down to the bottom of the page.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_080","Subscription Upgrades","Upgrading a plan triggers a false ""User already has an active or pending subscription"" alert block, blocking payment checkout.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_081","Subscription Upgrades","Upgrades show a ""User already has active subscription"" error, yet checking profile details shows the plan updated without any payment.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_082","Website: Sign up","Driver signups can bypass validation by filling out the License and Plate fields entirely with special characters like #@$.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_083","Website: Sign up","Inline validation error labels stay stuck on screen even after the user fixes the error and inputs valid information.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_084","Forgot Password","The password recovery pipeline is blocked because the system never presents an OTP verification field after emailing the reset link.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_085","Rider Web","The subscription management dash shows an ""Active"" status badge even when the attached checkout payment transaction fails.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_086","Rider Web","The phone registration loop completely rejects authentic, accurate verification OTP codes input by new users.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_087","Driver Web","Red warning text messages fail to disappear after the user corrects their Driver and Vehicle identification numbers.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_088","Driver Web","Character constraint checks for Driver and License fields run only during final form submission instead of checking in real-time.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_089","Driver App","The safety countdown timer (""drive to get off the app"") stays frozen instead of updating its remaining hours in real-time.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_090","Homepage","When clicking the App Coming Soon button on the homepage, the highlighted home navigation link unexpectedly unselects itself during a silent page reload.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_091","Homepage","Clicking the Invest in Réya button in the header correctly redirects to the Express Your Interest form, but clicking the exact same button located in the video playback section incorrectly redirects to the header section of the investors page instead.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_092","Homepage","Clicking the SignUp link in the footer newsletter category fails to open a registration screen or modal, incorrectly redirecting the user straight back to the top of the homepage instead.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_093","Homepage","Submitting invalid characters or leaving the newsletter email field blank throws a broken raw code error reading ""Unexpected token '<', 'DOCTYPE'... is not valid JSON"" instead of a proper validation warning.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_094","Homepage","Clicking the Cookie Settings link in the webpage footer causes the screen to silently refresh rather than opening the cookie configuration panel.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_095","Homepage","The support email link requires multiple clicks to trigger a response before it will successfully launch and redirect to Gmail.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_096","Homepage","Clicking on the LinkedIn social media icon fails to connect, causing the target webpage to stall out and completely fail to load.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_097","About Us","The title thumbnail image is cropped incorrectly, clipping off awkwardly against the border radius design parameters of the container.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_098","Investors Page","Submitting the Express Your Interest form with completely valid entries throws a broken raw code error reading ""Unexpected token '<', 'DOCTYPE'... is not valid JSON"" instead of showing a success state.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_099","Loyalty Page","Clicking on the Purchase Plan button for any subscription tier inside the plan modal fails to trigger the checkout process and nothing loads on screen.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_100","Loyalty Page","The Rider Subscription Form displays an unnecessary, empty input bar field directly beneath the profile photo upload section.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_101","Loyalty Page","Submitting the Rider Subscription form with accurate details throws a system breakdown error reading ""Unexpected token 'I', 'Internal S'... is not valid JSON"" instead of saving the data.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_102","Loyalty Page","The registration system lets users completely bypass the profile photo field and submit the Rider Subscription form without uploading an image.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_103","Loyalty Page","Submitting the Driver Subscription form after completing all mandatory rows fails to route to the next step, throwing a raw database error reading ""Unexpected token 'I', 'Internal S'... is not valid JSON.""","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_104","Loyalty Page","The system allows drivers to bypass validation rules and successfully submit registration forms while leaving mandatory fields like Driving License, Vehicle Registration, Vehicle Insurance, and Training Certificates completely empty.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_105","Loyalty Page","Leaving the City and Select Track dropdown choices on their default placeholder settings fails to trigger any visual error messages during driver registration submission.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_106","Contact Page","The email support navigation link responds slowly and requires multiple taps to launch a mail client, while the Call Center and Live Support links fail to route users anywhere.","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_107","Contact Page","Submitting a message via the Send Us a Message form with completely valid inputs fails to push through, displaying a raw system code exception reading ""Unexpected token '<', 'DOCTYPE'... is not valid JSON.""","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_108","Forgot password Screen","Submitting a valid email address to trigger a password reset links blocks the recovery pipeline, flashing a raw code error message reading ""Unexpected token '<', 'DOCTYPE'... is not valid JSON.""","","","","","","","","","","","","","","","","","","","","","","",""
"Bug_109","Homepage","When the browser view is zoomed in to 250%, clicking the expanded navigation menu icon breaks scrolling limits, locking the screen and preventing users from scrolling down to view hidden navigation links.","","","","","","","","","","","","","","","","","","","","","","",""
